ID,Tag,Treatment,Genotype,Replicate,Species,Temperature,Phase,Time,FvFm,R_blank,G_blank,B_blank,R_coral,G_coral,B_coral
C-1-1,C-1-1_I,C,1,1,Acropora hemprichii,31.81368785,I,0,0.444,194.3338776,193.3338776,191.3142857,57.55054648,30.83603063,28.18662173
C-1-1,C-1-1_Middle,C,1,1,Acropora hemprichii,31.81368785,Middle,7,0.322,NA,NA,NA,NA,NA,NA
C-1-1,C-1-1_F,C,1,1,Acropora hemprichii,31.81368785,F,18,0.354,197.4918367,195.7571429,192.8591837,55.70375335,31.78606898,28.81577087
T1-1-1,T1-1-1_I,T1,1,1,Acropora hemprichii,33.65498611,I,0,0.545,194.3338776,193.3338776,191.3142857,49.95274451,26.17417291,22.1574327
T1-1-1,T1-1-1_Middle,T1,1,1,Acropora hemprichii,33.65498611,Middle,7,0.38,NA,NA,NA,NA,NA,NA
T1-1-1,T1-1-1_F,T1,1,1,Acropora hemprichii,33.65498611,F,18,0.416,197.4918367,195.7571429,192.8591837,55.08895294,30.16460425,22.94427814
T2-1-1,T2-1-1_I,T2,1,1,Acropora hemprichii,36.10948895,I,0,0.568,194.3338776,193.3338776,191.3142857,50.07378468,27.57592062,24.75274428
T2-1-1,T2-1-1_Middle,T2,1,1,Acropora hemprichii,36.10948895,Middle,7,0.31,NA,NA,NA,NA,NA,NA
T2-1-1,T2-1-1_F,T2,1,1,Acropora hemprichii,36.10948895,F,18,0.182,197.4769388,197.0173469,194.2402041,111.3250968,86.09880886,88.0444832
T3-1-1,T3-1-1_I,T3,1,1,Acropora hemprichii,37.86072744,I,0,0.544,194.3338776,193.3338776,191.3142857,65.21813548,39.34203134,34.52399432
T3-1-1,T3-1-1_Middle,T3,1,1,Acropora hemprichii,37.86072744,Middle,7,0,NA,NA,NA,NA,NA,NA
T3-1-1,T3-1-1_F,T3,1,1,Acropora hemprichii,37.86072744,F,18,0,197.4769388,197.0173469,194.2402041,101.3425654,80.4685331,65.07654832
