ID,Batch (day tissue blast),cells_cm2,chl_a_cm2,chl_c_cm2,chl_c_cm2,total_chl_cm2,chl_per_cell,host_protein_cm2,cells_prot,chl_a_prot,chl_c_prot,total_chl_prot
C-1-1,4,0.503340768,3.093584891,1.009742647,1.009742647,4.025204818,7.99698E-06,403.5673638,1247.228624,0.007665597,0.000357435,0.009974059
C-1-2,3,0.286504176,1.524749211,0.498167399,0.498167399,1.992099171,6.95312E-06,467.0125571,613.4828106,0.0032649,0.000106671,0.004265622
C-10-1,7,0.529716612,4.22908892,1.115753565,1.115753565,5.259281242,9.92848E-06,433.5925752,1221.692073,0.009753601,0.000367611,0.012129546
C-10-2,3,0.547680584,3.55103128,1.096595372,1.096595372,4.566845504,8.33852E-06,452.5599699,1210.183447,0.007846543,0.000346156,0.010091139
C-2-1,4,0.338908747,2.712339414,0.91947694,0.91947694,3.590298828,1.05937E-05,349.5197014,969.6413265,0.00776019,0.000375812,0.010272093
C-2-2,2,0.356935639,3.237767795,0.967451187,0.967451187,4.153053443,1.16353E-05,837.0010395,426.4458728,0.003868296,7.70569E-05,0.004961826
C-3-1,3,0.486773754,3.372353593,1.02260541,1.02260541,4.312985489,8.86035E-06,326.2193538,1492.166999,0.010337687,0.000447817,0.013221121
C-3-2,3,0.342039378,1.930025085,0.64903893,0.64903893,2.548906205,7.45208E-06,505.9842374,675.9882089,0.003814398,0.000128273,0.005037521
C-4-1,6,0.356661806,2.928325226,0.892793967,0.892793967,3.762208324,1.05484E-05,306.6339229,1163.151821,0.009549906,0.000415942,0.012269381
C-4-2,3,0.32403553,2.427018223,0.743374096,0.743374096,3.108507379,9.59311E-06,303.4270604,1067.919023,0.007998687,0.00034999,0.010244661
C-5-1,1,0.627101462,3.625472426,1.01625778,1.01625778,4.531771085,7.22654E-06,361.827764,1733.149096,0.010019885,0.00040124,0.012524664
C-5-2,3,0.607195234,3.102899996,0.96736201,0.96736201,3.984393949,6.56197E-06,255.5212037,2376.300773,0.012143415,0.000540834,0.015593203
C-6-1,7,0.751300661,5.261128257,1.514625709,1.514625709,6.653298799,8.85571E-06,404.7357039,1856.274735,0.012998923,0.000534608,0.016438626
C-6-2,1,0.549857366,4.089507278,1.196062642,1.196062642,5.21651661,9.48704E-06,558.564251,984.4120255,0.007321463,0.000305902,0.009339152
C-7-1,3,0.593023378,3.216967259,0.822167582,0.822167582,3.96042268,6.67836E-06,237.8725563,2493.029828,0.013523911,0.000691267,0.016649347
C-7-2,3,0.543962181,3.608245655,0.937626981,0.937626981,4.471561113,8.22035E-06,505.1627419,1076.80582,0.007142739,0.000265156,0.008851724
C-8-1,3,0.803008028,4.113965369,1.275552421,1.275552421,5.322069971,6.62767E-06,377.668165,2126.226414,0.010893069,0.000482492,0.014091921
C-8-2,2,0.651735002,3.979393666,1.219476933,1.219476933,5.099554277,7.82458E-06,533.9381072,1220.619007,0.007452912,0.000326276,0.009550834
