Tag,ID,FvFm,Treatment,Genotype,Replicate,Species,Temperature,Phase,Time,D_toWhite,R_blank,G_blank,B_blank,R_coral,G_coral,B_coral
C-1-1_F,C-1-1,0.354,C,1,1,Acropora hemprichii,31.81368785,F,18,66.20766521,203.3483167,198.3070401,195.4294749,58.06710185,31.61036093,27.91362666
C-1-1_I,C-1-1,0.444,C,1,1,Acropora hemprichii,31.81368785,I,0,63.63525892,191.8849685,185.8994694,185.0367903,52.69055414,27.31984964,24.52193525
C-1-1_Middle,C-1-1,0.322,C,1,1,Acropora hemprichii,31.81368785,Middle,7,NA,NA,NA,NA,NA,NA,NA
C-1-2_F,C-1-2,0.384,C,1,2,Acropora hemprichii,31.81342634,F,18,66.00983283,202.7859978,197.5462694,195.2656371,59.34466251,31.33109395,25.31173297
C-1-2_I,C-1-2,0.546,C,1,2,Acropora hemprichii,31.81342634,I,0,64.27969692,191.8849685,185.8994694,185.0367903,51.62477184,26.30277653,21.48029805
C-1-2_Middle,C-1-2,0.372,C,1,2,Acropora hemprichii,31.81342634,Middle,7,NA,NA,NA,NA,NA,NA,NA
T1-1-1_F,T1-1-1,0.416,T1,1,1,Acropora hemprichii,33.65498611,F,18,69.02052139,203.3483167,198.3070401,195.4294749,49.57042044,26.04539196,19.56388596
T1-1-1_I,T1-1-1,0.545,T1,1,1,Acropora hemprichii,33.65498611,I,0,66.29302151,191.8849685,185.8994694,185.0367903,44.11990402,22.31887634,18.76800145
T1-1-1_Middle,T1-1-1,0.38,T1,1,1,Acropora hemprichii,33.65498611,Middle,7,NA,NA,NA,NA,NA,NA,NA
T1-1-2_F,T1-1-2,0.42,T1,1,2,Acropora hemprichii,34.09503478,F,18,68.16120032,202.7859978,197.5462694,195.2656371,55.84463512,27.25694196,18.23988665
T1-1-2_I,T1-1-2,0.545,T1,1,2,Acropora hemprichii,34.09503478,I,0,66.21958357,191.8849685,185.8994694,185.0367903,46.49853567,22.22448107,17.09343936
T1-1-2_Middle,T1-1-2,0.261,T1,1,2,Acropora hemprichii,34.09503478,Middle,7,NA,NA,NA,NA,NA,NA,NA
T2-1-1_F,T2-1-1,0.182,T2,1,1,Acropora hemprichii,36.10948895,F,18,40.98841779,203.06107,197.9103429,195.4444993,112.0141237,88.17956851,89.42900745
