"Index","Outcome","Covars","p_spearman","ci_lower","ci_upper","p_value","CV_RMSE","R2","RMSE_in","AIC","BIC","N","nGenos","Species","p_adj_BH","Rank"
"EVI","FvFm","",-0.796881343286808,-0.885847855281153,-0.627400125410048,0.000000000767134414099388,0.0976308330197532,0.681994363481543,0.0930851698291088,-70.4241493682663,-65.3575110059245,40,5,"Acropora hemprichii",0.0000000187970841366257,1
"g_norm","FvFm","",-0.789551538478273,-0.899882327392968,-0.596462908484498,0.00000000140404227721798,0.107380198230222,0.630312295080956,0.100364607397706,-64.4005693301835,-59.3339309678417,40,5,"Acropora hemprichii",0.0000000187970841366257,2
"ExG_2","FvFm","",-0.789551538478273,-0.899882327392968,-0.596462908484498,0.00000000140404227721798,0.107380198230222,0.630312295080956,0.100364607397706,-64.4005693301835,-59.3339309678417,40,5,"Acropora hemprichii",0.0000000187970841366257,3
"VDVI","FvFm","",-0.789551538478273,-0.899882327392968,-0.596462908484498,0.00000000140404227721798,0.108950198132265,0.619907276709051,0.101767209048546,-63.2903044046002,-58.2236660422584,40,5,"Acropora hemprichii",0.0000000187970841366257,4
"CIVE_norm","FvFm","",0.788799763626116,0.600197754079321,0.895714298167454,0.00000000149183207433537,0.103602444095774,0.657250834545117,0.0966387468308593,-67.4269583256765,-62.3603199633347,40,5,"Acropora hemprichii",0.0000000187970841366257,5
"ExGR_2","FvFm","",-0.778650803121992,-0.859584117081253,-0.627833458542231,0.00000000330563319642682,0.0988666136374728,0.68247686546879,0.0930145251237308,-70.4848864554833,-65.4182480931415,40,5,"Acropora hemprichii",0.0000000347091485624816,6
"VEG","FvFm","",-0.772260716878654,-0.888605573797143,-0.565379303471791,0.00000000534193117441501,0.106968090756122,0.62556629722101,0.101006786155379,-63.8903233228892,-58.8236849605474,40,5,"Acropora hemprichii",0.0000000398000216882367,7
"ChOL","FvFm","",-0.771602913883016,-0.850452212848994,-0.624584885212606,0.00000000560758490385358,0.0924124460992546,0.703521863263399,0.0898792464982188,-73.2279745532306,-68.1613361908888,40,5,"Acropora hemprichii",0.0000000398000216882367,8
"VARI","FvFm","",-0.771414970169977,-0.852068748393189,-0.631287929951708,0.00000000568571738403381,0.100207277600181,0.668409616001348,0.0950526108691801,-68.7508967075073,-63.6842583451655,40,5,"Acropora hemprichii",0.0000000398000216882367,9
"a_coral","FvFm","",0.767092264770072,0.605994128486963,0.863135544761238,0.00000000778861810120725,0.099759966329882,0.683904889157395,0.0928051283726881,-70.6651875900406,-65.5985492276988,40,5,"Acropora hemprichii",0.0000000490682940376056,10
"G_index","FvFm","",-0.746324484479225,-0.829810969051725,-0.606286586212242,0.0000000323346161312317,0.113912853950223,0.560659250268691,0.109411716116207,-57.4959013780576,-52.4292630157157,40,5,"Acropora hemprichii",0.000000185189165115236,11
